service_id,store_id,service_group,merchant_name,merchant_address,store_name,store_address,store_longitude,store_latitude,Group_store,Area
6867086828130189483,7197020264961212512,beverage,CÔNG TY TNHH JANUS HOLDING,"24-26 Hồ Tùng Mậu, Phường Nguyễn Thái Bình, Quận 1, TP.HCM",Toocha 175 Lê Văn Việt,"175 Lê Văn Việt, Phường Hiệp Phú, Quận 9, Thành Phố Hồ Chí Minh, VIỆT NAM",106.778349,10.846945,Toocha,South
6867086828130189483,6997093406790225686,beverage,CÔNG TY TNHH JANUS HOLDING,"24-26 Hồ Tùng Mậu, Phường Nguyễn Thái Bình, Quận 1, TP.HCM",Toocha 229 - 233 Hoàng Diệu ,"229 - 233 Hoàng Diệu, Phường 8, Quận 4,Thành Phố Hồ CHí Minh, VIỆT NAM",106.7026322,10.7623328,Toocha,South
6867086828130189483,5327738637200982496,beverage,CÔNG TY TNHH JANUS HOLDING,"24-26 Hồ Tùng Mậu, Phường Nguyễn Thái Bình, Quận 1, TP.HCM",Toocha Garden Mall,"190, Hồng Bàng, Phường 12, Quận 5, Hồ Chí Minh, Việt Nam",106.657143,10.7545959,Toocha,South
6867086828130189483,7968237406243729555,beverage,CÔNG TY TNHH JANUS HOLDING,"24-26 Hồ Tùng Mậu, Phường Nguyễn Thái Bình, Quận 1, TP.HCM",Toocha 175B Cao Thắng,"175B Cao Thắng, Phường 12, Quận 10, Thành Phố Hồ Chí Minh, VIỆT NAM",106.6755872,10.7747088,Toocha,South
6867086828130189483,8212122421787108950,beverage,CÔNG TY TNHH JANUS HOLDING,"24-26 Hồ Tùng Mậu, Phường Nguyễn Thái Bình, Quận 1, TP.HCM",Toocha 540 Cách Mạng Tháng 8,"540 Cách Mạng Tháng 8, Phường 11, Quận 3,Thành Phố Hồ CHí Minh, VIỆT NAM",106.667177,10.785687,Toocha,South
6867086828130189483,2274189642126755472,beverage,CÔNG TY TNHH JANUS HOLDING,"24-26 Hồ Tùng Mậu, Phường Nguyễn Thái Bình, Quận 1, TP.HCM",Toocha 103 Dân Chủ,"103 Dân Chủ, phường Bình Thọ, quận Thủ Đức, Hồ Chí Minh, Việt Nam",106.766791,10.849709,Toocha,South
6867086828130189483,2817803810047212055,beverage,CÔNG TY TNHH JANUS HOLDING,"24-26 Hồ Tùng Mậu, Phường Nguyễn Thái Bình, Quận 1, TP.HCM",Toocha Võ Thị Sáu ,"170A P8 Quận 3 Võ Thị Sáu , Phường 8, Quận 3, Thành Phố Hồ Chí Minh, VIỆT NAM",106.690204,10.786282,Toocha,South
6867086828130189483,1918112016068828359,beverage,CÔNG TY TNHH JANUS HOLDING,"24-26 Hồ Tùng Mậu, Phường Nguyễn Thái Bình, Quận 1, TP.HCM",Toocha 510 Nguyễn Thị Minh Khai,"510 Nguyễn Thị Minh Khai, Phường Nguyễn Cư Trinh, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",106.681936,10.7659346,Toocha,South
6867086828130189483,5589962370378538045,beverage,CÔNG TY TNHH JANUS HOLDING,"24-26 Hồ Tùng Mậu, Phường Nguyễn Thái Bình, Quận 1, TP.HCM",Toocha Vivo City,"Lầu 4 Vivo City Nguyễn Văn Linh, Phường Bình Thuận, Quận 7, Thành Phố Hồ Chí Minh, VIỆT NAM",106.690991,10.824898,Toocha,South
6867086828130189483,895333696933058255,beverage,CÔNG TY TNHH JANUS HOLDING,"24-26 Hồ Tùng Mậu, Phường Nguyễn Thái Bình, Quận 1, TP.HCM",Toocha 586 Lũy Bán Bích,"586 Lũy Bán Bích, Phường Hòa Thạnh, Quận Tân Phú, Thành Phố Hồ Chí Minh, VIỆT NAM",106.6369962,10.7866267,Toocha,South
